ID,SDC_GENDER,SDC_INCOME
SYN_58621,2,6
SYN_58622,2,6
SYN_58623,2,4
SYN_58624,2,3
SYN_58625,2,NA
SYN_58626,2,4
SYN_58627,2,5
SYN_58628,2,3
SYN_58629,2,3
SYN_586210,2,5
SYN_586211,1,8
SYN_586212,2,NA
SYN_586213,2,3
SYN_586214,2,5
SYN_586215,2,4
SYN_586216,2,4
SYN_586217,2,4
SYN_586218,2,NA
SYN_586219,2,4
SYN_586220,2,6
SYN_586221,2,5
SYN_586222,2,6
SYN_586223,1,5
SYN_586224,2,4
SYN_586225,2,3
SYN_586226,2,5
SYN_586227,2,NA
SYN_586228,2,6
SYN_586229,1,4
SYN_586230,2,5
SYN_586231,2,5
SYN_586232,1,6
SYN_586233,1,5
SYN_586234,1,5
SYN_586235,2,6
SYN_586236,2,3
SYN_586237,2,4
SYN_586238,2,3
SYN_586239,1,5
SYN_586240,2,3
SYN_586241,2,NA
SYN_586242,2,7
SYN_586243,2,3
SYN_586244,1,5
SYN_586245,2,6
SYN_586246,1,5
SYN_586247,1,NA
SYN_586248,2,6
SYN_586249,2,6
SYN_586250,2,4
SYN_586251,2,6
SYN_586252,1,NA
SYN_586253,1,5
SYN_586254,2,6
SYN_586255,2,6
SYN_586256,1,7
SYN_586257,2,4
SYN_586258,1,3
SYN_586259,1,3
SYN_586260,1,6
SYN_586261,2,4
SYN_586262,2,5
SYN_586263,2,4
SYN_586264,1,7
SYN_586265,2,5
SYN_586266,2,NA
SYN_586267,1,5
SYN_586268,1,3
SYN_586269,1,NA
SYN_586270,2,4
SYN_586271,2,6
SYN_586272,2,5
SYN_586273,2,NA
SYN_586274,2,NA
SYN_586275,1,6
SYN_586276,1,5
SYN_586277,2,NA
SYN_586278,2,6
SYN_586279,1,6
SYN_586280,1,7
SYN_586281,1,2
SYN_586282,2,NA
SYN_586283,2,6
SYN_586284,2,6
SYN_586285,2,NA
SYN_586286,2,6
SYN_586287,1,6
SYN_586288,2,5
SYN_586289,2,5
SYN_586290,1,7
SYN_586291,2,5
SYN_586292,2,6
SYN_586293,1,NA
SYN_586294,2,4
SYN_586295,1,NA
SYN_586296,1,4
SYN_586297,1,6
SYN_586298,2,2
SYN_586299,2,5
SYN_5862100,2,NA
SYN_5862101,1,3
SYN_5862102,2,5
SYN_5862103,1,5
SYN_5862104,2,8
SYN_5862105,2,5
SYN_5862106,1,4
SYN_5862107,1,7
SYN_5862108,2,5
SYN_5862109,1,5
SYN_5862110,1,6
SYN_5862111,1,6
SYN_5862112,2,5
SYN_5862113,1,5
SYN_5862114,2,4
SYN_5862115,1,5
SYN_5862116,2,5
SYN_5862117,1,6
SYN_5862118,2,4
SYN_5862119,2,6
SYN_5862120,1,4
SYN_5862121,2,4
SYN_5862122,2,5
SYN_5862123,2,NA
SYN_5862124,2,7
SYN_5862125,2,4
SYN_5862126,2,5
SYN_5862127,1,4
SYN_5862128,2,5
SYN_5862129,1,5
SYN_5862130,1,4
SYN_5862131,2,3
SYN_5862132,2,3
SYN_5862133,2,3
SYN_5862134,2,5
SYN_5862135,2,6
SYN_5862136,1,5
SYN_5862137,2,6
SYN_5862138,2,3
SYN_5862139,1,6
SYN_5862140,2,5
SYN_5862141,2,7
SYN_5862142,2,4
SYN_5862143,2,4
SYN_5862144,2,3
SYN_5862145,2,5
SYN_5862146,2,7
SYN_5862147,2,NA
SYN_5862148,1,5
SYN_5862149,1,3
SYN_5862150,2,6
SYN_5862151,2,5
SYN_5862152,2,3
SYN_5862153,2,3
SYN_5862154,2,3
SYN_5862155,2,6
SYN_5862156,2,4
SYN_5862157,2,6
SYN_5862158,2,5
SYN_5862159,2,NA
SYN_5862160,2,6
SYN_5862161,2,5
SYN_5862162,2,5
SYN_5862163,2,4
SYN_5862164,2,7
SYN_5862165,2,5
SYN_5862166,2,8
SYN_5862167,2,3
SYN_5862168,1,3
SYN_5862169,2,4
SYN_5862170,2,NA
SYN_5862171,2,6
SYN_5862172,2,7
SYN_5862173,1,5
SYN_5862174,2,8
SYN_5862175,2,NA
SYN_5862176,2,5
SYN_5862177,1,8
SYN_5862178,2,7
SYN_5862179,1,3
SYN_5862180,2,2
SYN_5862181,1,6
SYN_5862182,2,3
SYN_5862183,2,4
SYN_5862184,2,6
SYN_5862185,2,5
SYN_5862186,2,6
SYN_5862187,2,7
SYN_5862188,2,3
SYN_5862189,2,3
SYN_5862190,2,4
SYN_5862191,1,5
SYN_5862192,2,4
SYN_5862193,1,6
SYN_5862194,2,3
SYN_5862195,2,6
SYN_5862196,2,4
SYN_5862197,2,4
SYN_5862198,2,5
SYN_5862199,2,6
SYN_5862200,2,5
SYN_5862201,2,3
SYN_5862202,2,2
SYN_5862203,2,4
SYN_5862204,1,4
SYN_5862205,1,4
SYN_5862206,2,3
SYN_5862207,2,5
SYN_5862208,1,5
SYN_5862209,2,3
SYN_5862210,2,4
SYN_5862211,2,4
SYN_5862212,2,6
SYN_5862213,2,4
SYN_5862214,2,4
SYN_5862215,2,7
SYN_5862216,1,5
SYN_5862217,1,3
SYN_5862218,2,4
SYN_5862219,2,2
SYN_5862220,1,6
SYN_5862221,2,4
SYN_5862222,2,4
SYN_5862223,2,5
SYN_5862224,2,5
SYN_5862225,2,3
SYN_5862226,1,4
SYN_5862227,2,3
SYN_5862228,1,3
SYN_5862229,1,4
SYN_5862230,1,3
SYN_5862231,2,6
SYN_5862232,1,5
SYN_5862233,2,6
SYN_5862234,2,5
SYN_5862235,2,4
SYN_5862236,1,8
SYN_5862237,1,NA
SYN_5862238,2,3
SYN_5862239,2,4
SYN_5862240,1,7
SYN_5862241,2,3
SYN_5862242,2,6
SYN_5862243,1,NA
SYN_5862244,2,4
SYN_5862245,2,4
SYN_5862246,1,4
SYN_5862247,2,5
SYN_5862248,1,5
SYN_5862249,2,4
SYN_5862250,2,5
SYN_5862251,2,5
SYN_5862252,2,5
SYN_5862253,1,NA
SYN_5862254,1,6
SYN_5862255,2,5
